routine_name,column_name,data_type,precision,is_percentage,percent_determiner,description,short_label,is_emphasized
chisq_test_vs_external_estimate,df,NUMERIC,2,No,,Degrees of freedom for the reference Chi-Squared distribution,Degrees of freedom,No
chisq_test_vs_external_estimate,scale,NUMERIC,3,No,,Estimated scale parameter,Scale parameter,No
chisq_test_vs_external_estimate,p_value,NUMERIC,5,No,,The p-value of the test of independence,p value,Yes
chisq_test_vs_external_estimate,test_method,TEXT,,No,,Text giving the name of the statistical test,Name of test,No
chisq_test_vs_external_estimate,variance_method,TEXT,,No,,Text describing the method of variance estimation,Method of variance estimation,No
t_test_resp_vs_full,outcome,TEXT,,No,,The variable which is compared between respondents and the full sample,Auxiliary variable,No
t_test_resp_vs_full,outcome_category,TEXT,,No,,"For a categorical variable, the specific category of that variable",Category of auxiliary variable,No
t_test_resp_vs_full,resp_mean,NUMERIC,3,Maybe,outcome_category,Mean/percent among respondents,Mean/percent among respondents,Yes
t_test_resp_vs_full,full_sample_mean,NUMERIC,3,Maybe,outcome_category,Mean/percent in the full sample (regardless of response or eligibility status),Mean/percent in the full sample,Yes
t_test_resp_vs_full,difference,NUMERIC,3,Maybe,outcome_category,The difference between the mean/percent from respondents and the mean/percent from the full sample,Difference,Yes
t_test_resp_vs_full,std_error,NUMERIC,3,Maybe,outcome_category,The standard error of the difference between the estimate from respondents and estimate from the the full sample,Standard error of the difference,No
t_test_resp_vs_full,p_value,NUMERIC,5,No,,p-value for the test of the difference between the estimate from respondents and the estimate from the full sample,p value,Yes
t_test_resp_vs_full,t_statistic,NUMERIC,3,No,,The t-statistic from the test of the difference,Test statistic,No
t_test_resp_vs_full,df,NUMERIC,2,No,,The degrees of freedom for the t-test,Degrees of freedom,No
t_test_resp_vs_full,resp_se,NUMERIC,3,Maybe,outcome_category,Standard error of the mean/percent among respondents,Standard error of the mean/percent among respondents,No
t_test_resp_vs_full,full_sample_se,NUMERIC,3,Maybe,outcome_category,Standard error of the mean/percent in the full sample,Standard error of the mean/percent in the full sample,No
t_test_resp_vs_full,covariance,NUMERIC,3,Maybe,outcome_category,Covariance between the two means/percents,Covariance between the two means/percents,No
t_test_resp_vs_elig,outcome,TEXT,,No,,The variable which is compared between respondents and all eligible cases,Auxiliary variable,No
t_test_resp_vs_elig,outcome_category,TEXT,,No,,"For a categorical variable, the specific category of that variable",Category of auxiliary variable,No
t_test_resp_vs_elig,resp_mean,NUMERIC,3,Maybe,outcome_category,Mean/percent among respondents,Mean/percent among respondents,Yes
t_test_resp_vs_elig,elig_mean,NUMERIC,3,Maybe,outcome_category,Mean/percent among all eligible cases (respondents and nonrespondents),Mean/percent among all eligible cases,Yes
t_test_resp_vs_elig,difference,NUMERIC,3,Maybe,outcome_category,The difference between the mean/percent from respondents and the mean/percent from all eligible cases,Difference,Yes
t_test_resp_vs_elig,std_error,NUMERIC,3,Maybe,outcome_category,The standard error of the difference between the estimate from respondents and the estimate from all eligible cases,Standard error of the difference,No
t_test_resp_vs_elig,p_value,NUMERIC,5,No,,p-value for the test of the difference between the estimate from respondents and the estimate from all eligible cases,p value,Yes
t_test_resp_vs_elig,t_statistic,NUMERIC,3,No,,The t-statistic from the test of the difference,Test statistic,No
t_test_resp_vs_elig,df,NUMERIC,2,No,,The degrees of freedom for the t-test,Degrees of freedom,No
t_test_resp_vs_elig,resp_se,NUMERIC,3,Maybe,outcome_category,Standard error of the mean/percent among respondents,Standard error of the mean/percent among respondents,No
t_test_resp_vs_elig,elig_se,NUMERIC,3,Maybe,outcome_category,Standard error of the mean/percent among all eligible cases,Standard error of the mean/percent among all eligible cases,No
t_test_resp_vs_elig,covariance,NUMERIC,3,Maybe,outcome_category,Covariance between the two means/percents,Covariance between the two means/percents,No
t_test_of_weight_adjustment,outcome,TEXT,,No,,outcome,outcome,No
t_test_of_weight_adjustment,outcome_category,TEXT,,No,,outcome_category,outcome_category,No
t_test_of_weight_adjustment,Original_mean,NUMERIC,3,Maybe,outcome_category,Mean/percent before weight adjustment,Mean/percent before adjustment,Yes
t_test_of_weight_adjustment,Adjusted_mean,NUMERIC,3,Maybe,outcome_category,Mean/percent after weight adjustment,Mean/percent after adjustment,Yes
t_test_of_weight_adjustment,difference,NUMERIC,3,Maybe,outcome_category,Difference between the unadjusted estimate and the adjusted estimate,Difference,Yes
t_test_of_weight_adjustment,std_error,NUMERIC,3,Maybe,outcome_category,The standard error of the difference between the estimate before adjustment and the estimate after adjustment,Standard error of the difference,No
t_test_of_weight_adjustment,p_value,NUMERIC,5,No,,p-value for the test of the difference between the estimate before adjustment and the estimate after adjustment,p value,Yes
t_test_of_weight_adjustment,t_statistic,NUMERIC,3,No,,The t-statistic from the test of the difference,Test statistic,No
t_test_of_weight_adjustment,df,NUMERIC,2,No,,The degrees of freedom for the t-test,Degrees of freedom,No
t_test_of_weight_adjustment,Original_se,NUMERIC,3,Maybe,outcome_category,Standard error of the mean/percent before adjustment,Standard error of the mean/percent before adjustment,No
t_test_of_weight_adjustment,Adjusted_se,NUMERIC,3,Maybe,outcome_category,Standard error of the mean/percent after adjustment,Standard error of the mean/percent after adjustment,No
t_test_of_weight_adjustment,covariance,NUMERIC,3,Maybe,outcome_category,Covariance between the two means/percents,Covariance between the two means/percents,No
predict_response_status_via_glm,variable,TEXT,,No,,Predictor variable in the regression model,Predictor variable,No
predict_response_status_via_glm,variable_level_p_value,NUMERIC,5,No,,Variable-level p-value for Rao-Scott Likelihood Ratio Test,Variable-level p-value,Yes
predict_response_status_via_glm,variable_category,TEXT,,No,,"For categorical variables, the specific category corresponding to the model coefficient",Category of categorical variable,No
predict_response_status_via_glm,estimated_coefficient,NUMERIC,3,No,,"Estimated coefficient. For numeric predictor variables, there is only one coefficient. For categorical variables, there are multiple coefficients.",Estimated coefficient,Yes
predict_response_status_via_glm,se_coefficient,NUMERIC,3,No,,Estimated standard error of the coefficient,Standard error,No
predict_response_status_via_glm,conf_intrvl_lower,NUMERIC,3,No,,Lower bound of 95% confidence interval for the coefficient,Lower bound of 95% confidence interval,No
predict_response_status_via_glm,conf_intrvl_upper,NUMERIC,3,No,,Upper bound of 95% confidence interval for the coefficient,Upper bound of 95% confidence interval,No
predict_response_status_via_glm,p_value_coefficient,NUMERIC,5,No,,p-value from Wald t-test of whether coefficient equals zero,Coefficient p-value from t-test,Yes
predict_response_status_via_glm,LRT_chisq_statistic,NUMERIC,3,No,,Variable-level Chi-Squared statistic from Rao-Scott Likelihood Ratio Test,Likelihood ratio test Chi-Squared statistic,No
predict_response_status_via_glm,LRT_DEff,NUMERIC,3,No,,DEff from Rao-Scott Likelihood Ratio Test,Likelihood ratio test DEff,No
predict_response_status_via_glm,LRT_df_numerator,NUMERIC,3,No,,Numerator degrees of freedom from Rao-Scott Likelihood Ratio Test,Likelihood ratio test numerator df,No
predict_response_status_via_glm,LRT_df_denominator,NUMERIC,3,No,,Denominator degrees of freedom from Rao-Scott Likelihood Ratio Test,Likelihood ratio test denominator df,No
predict_outcome_via_glm,variable,TEXT,,No,,Predictor variable in the regression model,Predictor variable,No
predict_outcome_via_glm,variable_level_p_value,NUMERIC,5,No,,Variable-level p-value for Rao-Scott Likelihood Ratio Test,Variable-level p-value,Yes
predict_outcome_via_glm,variable_category,TEXT,,No,,"For categorical variables, the specific category corresponding to the model coefficient",Category of categorical variable,No
predict_outcome_via_glm,estimated_coefficient,NUMERIC,3,No,,"Estimated coefficient. For numeric predictor variables, there is only one coefficient. For categorical variables, there are multiple coefficients.",Estimated coefficient,Yes
predict_outcome_via_glm,se_coefficient,NUMERIC,3,No,,Estimated standard error of the coefficient,Standard error,No
predict_outcome_via_glm,conf_intrvl_lower,NUMERIC,3,No,,Lower bound of 95% confidence interval for the coefficient,Lower bound of 95% confidence interval,No
predict_outcome_via_glm,conf_intrvl_upper,NUMERIC,3,No,,Upper bound of 95% confidence interval for the coefficient,Upper bound of 95% confidence interval,No
predict_outcome_via_glm,p_value_coefficient,NUMERIC,5,No,,p-value from Wald t-test of whether coefficient equals zero,Coefficient p-value from t-test,Yes
predict_outcome_via_glm,LRT_chisq_statistic,NUMERIC,3,No,,Variable-level Chi-Squared statistic from Rao-Scott Likelihood Ratio Test,Likelihood ratio test Chi-Squared statistic,No
predict_outcome_via_glm,LRT_DEff,NUMERIC,3,No,,DEff from Rao-Scott Likelihood Ratio Test,Likelihood ratio test DEff,No
predict_outcome_via_glm,LRT_df_numerator,NUMERIC,3,No,,Numerator degrees of freedom from Rao-Scott Likelihood Ratio Test,Likelihood ratio test numerator df,No
predict_outcome_via_glm,LRT_df_denominator,NUMERIC,3,No,,Denominator degrees of freedom from Rao-Scott Likelihood Ratio Test,Likelihood ratio test denominator df,No
get_cumulative_estimates,outcome,TEXT,,No,,The variable which is compared between respondents and the full sample,Analysis variable,No
get_cumulative_estimates,outcome_category,TEXT,,No,,"For a categorical variable, the specific category of that variable",Category of analysis variable,No
get_cumulative_estimates,estimate,NUMERIC,3,Maybe,outcome_category,The estimated mean/percent from respondents,Estimate from respondents,Yes
get_cumulative_estimates,std_error,NUMERIC,3,Maybe,outcome_category,The standard error of the estimate from respondents,Standard error of the estimate from respondents,No
get_cumulative_estimates,respondent_sample_size,NUMERIC,0,No,,Number of eligible respondents,Number of eligible respondents,No
analysis_across_subgroups,variable_1,TEXT,,No,,Variable used to divide the sample into subgroups,Grouping variable,No
analysis_across_subgroups,variable_2,TEXT,,No,,Outcome variable for which percentages are estimated,Outcome variable,No
analysis_across_subgroups,Percent,NUMERIC,3,Yes,,"Percent for outcome category, within subgroup",Percent,Yes
analysis_across_subgroups,Lower_95_CI,NUMERIC,3,Yes,,Lower bound of 95% confidence interval,Lower bound of 95% confidence interval,Yes
analysis_across_subgroups,Upper_95_CI,NUMERIC,3,Yes,,Upper bound of 95% confidence interval,Upper bound of 95% confidence interval,Yes
analysis_across_subgroups,Weighted_Count,NUMERIC,0,No,,Weighted Count (used for calculating percentages),Weighted Count,No
analysis_across_subgroups,Unweighted_Count,NUMERIC,0,No,,Unweighted Count,Unweighted Count,No
